iter	RMSE
0	78237.91953
1	76069.5742
2	73977.9868
3	72133.02329
4	70279.83614
5	68571.12999
6	66980.12935
7	65309.59399
8	63654.47328
9	62129.45587
10	60661.51801
11	59241.5188
12	57909.2443
13	56598.85044
14	55355.27569
15	54241.2003
16	53149.74639
17	52040.84802
18	51051.59782
19	50028.77573
20	49093.32648
21	48225.49686
22	47383.97139
23	46552.12284
24	45742.73619
25	44983.41532
26	44289.33415
27	43553.42092
28	42881.49667
29	42269.76788
30	41615.0575
31	41014.89145
32	40494.14422
33	39983.2649
34	39399.01692
35	38863.46145
36	38327.54329
37	37837.14167
38	37377.86935
39	36962.6332
40	36526.98126
41	36151.85326
42	35769.81324
43	35402.01022
44	35092.47123
45	34751.48002
46	34433.36548
47	34127.48568
48	33733.30267
49	33375.53297
50	33026.48152
51	32755.75033
52	32501.92929
53	32230.26567
54	32005.48113
55	31769.46847
56	31535.49029
57	31327.63294
58	31078.15881
59	30868.91698
60	30656.35147
61	30483.91786
62	30331.55355
63	30160.18088
64	30018.9878
65	29852.42131
66	29654.03677
67	29462.77545
68	29313.23495
69	29182.44267
70	29058.27449
71	28904.00333
72	28788.31052
73	28607.53209
74	28462.95551
75	28327.18017
76	28189.24312
77	28044.95627
78	27956.19282
79	27800.97532
80	27682.72373
81	27553.39329
82	27470.39732
83	27347.09292
84	27271.40162
85	27168.94329
86	27100.98487
87	27018.08707
88	26936.13659
89	26849.7753
90	26739.89963
91	26659.81015
92	26567.05944
93	26504.48799
94	26417.56936
95	26331.70685
96	26256.94717
97	26213.45622
98	26142.97639
99	26058.59592
100	25971.51467
101	25906.2613
102	25854.3822
103	25778.40309
104	25692.71791
105	25641.78811
106	25557.14663
107	25505.2297
108	25450.6187
109	25382.71346
110	25350.1477
111	25313.14792
112	25249.00505
113	25218.57388
114	25171.53286
115	25125.95425
116	25062.44928
117	25013.00072
118	24954.69468
119	24898.52823
120	24855.8
121	24799.5812
122	24742.10498
123	24702.4892
124	24641.05353
125	24599.44391
126	24560.65297
127	24515.3247
128	24458.71179
129	24433.75646
130	24388.31089
131	24343.83518
132	24304.90836
133	24281.07351
134	24255.48457
135	24240.47159
136	24211.66053
137	24168.0988
138	24131.92483
139	24098.14757
140	24076.09885
141	24048.93146
142	24020.02461
143	23968.54259
144	23927.23408
145	23881.63898
146	23848.03629
147	23797.21948
148	23774.52356
149	23734.0468
150	23711.40823
151	23681.58736
152	23645.15766
153	23616.94436
154	23604.02504
155	23587.74911
156	23562.99832
157	23528.02879
158	23502.63177
159	23477.09959
160	23447.23724
161	23428.58567
162	23381.41066
163	23351.01878
164	23323.81551
165	23279.92985
166	23258.78324
167	23235.95649
168	23212.60872
169	23192.70377
170	23152.31286
171	23133.81253
172	23111.45882
173	23093.58467
174	23064.69331
175	23042.91313
176	23005.72269
177	22977.27268
178	22947.75948
179	22921.93765
180	22891.9501
181	22861.592
182	22847.31328
183	22827.15537
184	22790.04165
185	22764.11451
186	22737.18226
187	22706.06304
188	22679.67679
189	22646.74675
190	22629.85311
191	22603.1404
192	22586.82621
193	22574.00699
194	22545.87333
195	22509.28051
196	22494.89574
197	22472.27084
198	22453.02384
199	22430.93712
200	22418.63654
201	22400.17977
202	22376.28427
203	22355.21871
204	22332.91167
205	22300.07797
206	22281.64219
207	22252.62896
208	22222.20749
209	22188.53489
210	22174.48291
211	22144.35022
212	22121.41426
213	22103.85464
214	22063.1453
215	22038.12191
216	22013.01321
217	21997.87367
218	21984.17488
219	21963.50583
220	21954.49487
221	21931.49144
222	21918.65731
223	21894.6685
224	21867.02944
