iter	Passed	Remaining
0	1	1161
1	3	1740
2	6	2109
3	10	2644
4	12	2478
5	13	2259
6	15	2169
7	16	2036
8	18	2002
9	20	2061
10	22	2049
11	24	1992
12	25	1925
13	26	1871
14	28	1865
15	29	1836
16	31	1826
17	33	1810
18	34	1772
19	36	1798
20	38	1816
21	41	1843
22	42	1823
23	48	1959
24	49	1933
25	51	1921
26	56	2036
27	57	2003
28	58	1969
29	60	1942
30	61	1930
31	63	1917
32	65	1912
33	70	2009
34	72	1994
35	73	1970
36	74	1943
37	76	1931
38	78	1937
39	80	1941
40	82	1921
41	83	1898
42	84	1887
43	86	1875
44	88	1875
45	89	1864
46	91	1858
47	93	1849
48	94	1836
49	95	1823
50	97	1805
51	98	1787
52	99	1771
53	100	1756
54	101	1743
55	102	1733
56	104	1725
57	106	1728
58	108	1723
59	109	1714
60	110	1700
61	111	1688
62	112	1674
63	113	1663
64	114	1649
65	116	1641
66	117	1632
67	119	1635
68	120	1624
69	121	1613
70	123	1610
71	124	1604
72	126	1605
73	127	1597
74	128	1587
75	129	1576
76	131	1573
77	132	1565
78	133	1557
79	134	1550
80	137	1554
81	138	1549
82	139	1545
83	141	1537
84	142	1530
85	143	1523
86	144	1521
87	148	1539
88	149	1533
89	151	1527
90	152	1523
91	153	1516
92	154	1510
93	156	1511
94	158	1507
95	159	1504
96	161	1498
97	162	1496
98	163	1490
99	165	1486
100	166	1480
101	167	1475
102	169	1475
103	171	1477
104	175	1494
105	177	1499
106	179	1495
107	182	1504
108	184	1509
109	186	1505
110	187	1501
111	190	1508
112	191	1503
113	192	1498
114	193	1492
115	195	1487
116	196	1483
117	197	1479
118	200	1482
119	201	1477
120	203	1474
121	204	1471
122	205	1466
123	206	1461
124	208	1462
125	210	1457
126	211	1453
127	213	1452
128	214	1447
129	215	1441
130	219	1452
131	220	1451
132	221	1446
133	222	1439
134	224	1435
135	225	1433
136	226	1429
137	227	1423
138	228	1418
139	230	1413
140	231	1409
141	232	1405
142	234	1406
143	235	1402
144	237	1399
145	238	1394
146	239	1389
147	240	1385
148	241	1381
149	242	1376
150	244	1374
151	246	1375
152	247	1371
153	249	1368
154	250	1365
155	251	1361
156	252	1357
157	253	1353
158	254	1348
159	256	1344
160	257	1341
161	259	1343
162	261	1342
163	262	1338
164	263	1335
165	265	1332
166	266	1328
167	267	1325
168	268	1321
169	270	1319
170	271	1315
171	273	1317
172	275	1316
173	277	1318
174	279	1315
175	280	1312
176	281	1309
177	282	1304
178	283	1302
179	285	1298
180	286	1294
181	287	1290
182	288	1287
183	289	1285
184	291	1284
185	293	1282
186	294	1280
187	295	1277
188	297	1274
189	298	1270
190	299	1267
191	300	1264
192	301	1262
193	303	1260
194	304	1258
195	305	1254
196	306	1251
197	308	1247
198	309	1247
199	311	1246
200	312	1242
201	313	1239
202	314	1236
203	316	1233
204	317	1232
205	319	1232
206	321	1230
207	323	1230
208	324	1227
209	325	1224
210	326	1221
211	327	1218
212	329	1216
213	330	1214
214	332	1212
215	333	1209
216	334	1207
217	336	1206
218	337	1203
219	338	1200
220	339	1197
221	340	1193
222	341	1190
223	345	1196
224	346	1194
225	347	1191
226	349	1190
227	350	1188
228	352	1186
229	354	1187
230	355	1184
231	357	1182
232	360	1185
233	362	1185
234	363	1183
235	365	1181
236	366	1178
237	367	1175
238	369	1175
239	370	1173
240	372	1172
241	373	1171
242	375	1168
243	376	1167
244	378	1166
245	379	1164
246	381	1162
247	382	1159
248	383	1156
249	384	1154
250	386	1154
251	388	1153
252	390	1151
253	392	1152
254	393	1149
255	394	1146
256	395	1144
257	396	1140
258	397	1138
259	398	1135
260	400	1134
261	401	1132
262	403	1130
263	404	1128
264	407	1128
265	408	1126
266	409	1125
267	411	1122
268	412	1120
269	413	1119
270	415	1117
271	416	1115
272	418	1114
273	420	1115
274	422	1113
275	423	1110
276	424	1107
277	425	1105
278	427	1104
279	428	1102
280	430	1100
281	431	1098
282	432	1096
283	434	1095
284	435	1092
285	436	1090
286	437	1087
287	439	1085
288	440	1084
289	441	1081
290	443	1079
291	444	1077
292	445	1075
293	446	1073
294	448	1070
295	449	1068
296	450	1065
297	451	1063
298	452	1061
299	453	1059
300	455	1057
301	456	1056
302	458	1054
303	459	1051
304	461	1050
305	462	1049
306	464	1047
307	465	1044
308	466	1042
309	467	1040
310	468	1038
311	470	1036
312	471	1034
313	472	1032
314	473	1029
315	474	1027
316	476	1025
317	477	1023
318	478	1022
319	480	1020
320	481	1018
321	482	1015
322	483	1012
323	484	1010
324	485	1009
325	487	1007
326	488	1004
327	489	1002
328	490	1000
329	491	998
330	492	996
331	493	993
332	495	991
333	496	989
334	496	986
335	499	986
336	500	983
337	500	981
338	502	979
339	503	977
340	504	974
341	505	972
342	506	970
343	507	968
344	508	965
345	509	963
346	510	960
347	511	958
348	513	957
349	515	957
350	516	955
351	518	954
352	523	959
353	524	957
354	525	955
355	528	956
356	530	956
357	532	954
358	533	953
359	535	951
360	537	951
361	539	950
362	540	948
363	541	946
364	542	944
365	543	942
366	544	939
367	546	937
368	547	936
369	548	934
370	549	932
371	551	930
372	552	928
373	553	926
374	555	926
375	556	924
376	557	922
377	559	920
378	561	919
379	562	917
380	563	915
381	564	913
382	565	911
383	566	909
384	568	908
385	571	908
386	572	906
387	574	905
388	575	904
389	576	902
390	577	900
391	578	898
392	580	896
393	581	894
394	582	892
395	585	893
396	587	891
397	588	889
398	589	888
399	591	886
400	592	884
401	593	882
402	594	880
403	595	878
404	596	876
405	598	875
406	599	874
407	601	872
408	603	871
409	604	870
410	606	869
411	607	867
412	608	865
413	609	863
